source_feature,mean_abs_shap,mean_signed_shap,max_transformed_abs_shap,num_transformed_features,importance_rank,feature_note
future_asset_record_hidden_flag,5.490596204106961e-05,-2.641174444795762e-05,5.490596204106961e-05,1,90,Binary indicator for future asset construction record post-dating observation cutoff.
max_temp_fallback_days_30d,0.0,0.0,0.0,1,91,
iri_std,0.0,0.0,0.0,1,92,
condition_missing_flag,0.0,0.0,0.0,1,93,Binary indicator for missing pavement condition survey data.
freeze_thaw_max_ge_zero_sum_30d,0.0,0.0,0.0,1,94,
repair_history_complete_90d,0.0,0.0,0.0,1,95,
repair_history_complete_365d,0.0,0.0,0.0,1,96,
repair_history_complete_180d,0.0,0.0,0.0,1,97,
repair_history_complete_30d,0.0,0.0,0.0,1,98,
pci_std,0.0,0.0,0.0,1,99,
unmatched_boundary_flag,0.0,0.0,0.0,1,100,
resurfacing_interval_crosses_as_of_flag,0.0,0.0,0.0,1,101,
resurfacing_before_construction_candidate_flag,0.0,0.0,0.0,1,102,
weather_coverage_ratio_90d,0.0,0.0,0.0,1,103,
weather_coverage_ratio_365d,0.0,0.0,0.0,1,104,
weather_coverage_ratio_30d,0.0,0.0,0.0,1,105,
weather_coverage_ratio_180d,0.0,0.0,0.0,1,106,
weather_complete_90d,0.0,0.0,0.0,1,107,
weather_complete_365d,0.0,0.0,0.0,1,108,
weather_complete_30d,0.0,0.0,0.0,1,109,
weather_complete_180d,0.0,0.0,0.0,1,110,
